Weather_Database,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
242,Z,65.75,150.85,61.65,36,100,8.08,RU,overcast clouds
243,C,-18.9,-66.7667,46.62,27,7,2.66,BO,clear sky
244,C,40.9725,117.9361,69.64,92,100,2.13,CN,light rain
245,E,41.0002,-115.5012,95.02,13,92,15.03,US,overcast clouds
246,P,-10.4056,-36.4344,71.38,86,18,5.55,BR,few clouds
247,N,17.4924,44.1277,79.45,49,91,2.66,SA,overcast clouds
248,J,29.0331,21.5482,79.52,51,0,6.11,LY,clear sky
249,T,31.7471,54.2088,80.55,51,75,9.22,IR,broken clouds
250,S,-8.8978,-35.1478,72.28,87,69,4.88,BR,broken clouds
251,K,58.6881,99.1844,59.13,90,100,1.61,RU,overcast clouds
252,W,53.0,-6.4167,52.07,92,90,2.53,IE,overcast clouds
253,H,-11.495,-77.2078,61.72,86,84,5.08,PE,broken clouds
254,R,-17.9333,19.7667,52.56,43,38,5.82,NA,scattered clouds
255,D,20.7141,70.9822,81.64,78,100,6.44,IN,overcast clouds
256,B,-3.3244,114.591,80.74,72,76,4.52,ID,broken clouds
257,B,-3.8004,102.2655,83.39,67,59,1.36,ID,broken clouds
258,K,67.8557,20.2251,47.32,76,100,12.66,SE,overcast clouds
259,S,41.1754,29.6133,70.47,75,0,14.29,TR,clear sky
260,T,39.9256,9.6572,76.82,83,40,9.22,IT,scattered clouds
261,G,41.1875,61.4036,84.11,26,18,11.45,TM,few clouds
262,J,30.5667,79.5667,72.27,89,99,1.86,IN,overcast clouds
263,N,43.3236,145.575,64.76,92,47,4.68,JP,scattered clouds
264,C,70.6333,147.9167,61.14,34,98,14.07,RU,overcast clouds
265,P,32.6667,-17.1,71.71,74,0,5.3,PT,clear sky
266,N,-12.2333,136.7667,83.01,57,40,20.71,AU,scattered clouds
267,A,7.3706,7.6253,71.15,94,100,8.5,NG,overcast clouds
268,L,34.6391,-120.4579,69.78,83,75,12.66,US,broken clouds
269,L,78.2186,15.6401,42.64,81,75,17.27,SJ,broken clouds
270,T,25.5198,90.2201,80.82,84,53,4.29,IN,broken clouds
271,A,14.7308,0.9174,86.43,54,98,15.52,NE,overcast clouds
272,V,-12.7406,-60.1458,68.22,48,6,3.98,BR,clear sky
273,C,35.0887,-92.4421,84.7,74,75,0.0,US,broken clouds
274,S,14.8961,-24.4956,78.17,89,89,3.62,CV,overcast clouds
275,L,-5.4,-80.75,64.62,79,7,16.33,PE,clear sky
276,F,64.8378,-147.7164,61.14,62,75,11.5,US,broken clouds
277,O,59.5833,151.2833,73.15,66,30,9.51,RU,scattered clouds
278,S,-0.6136,-47.3561,78.31,83,34,10.33,BR,scattered clouds
279,N,28.3667,129.4833,85.12,82,76,15.68,JP,broken clouds
280,C,70.4692,-68.5914,37.63,100,100,4.61,CA,light rain
281,L,-16.0999,167.4164,82.02,73,95,5.99,VU,overcast clouds
282,S,67.45,153.6833,57.13,42,99,10.45,RU,overcast clouds
283,L,-8.8368,13.2343,68.97,87,100,2.91,AO,overcast clouds
284,I,-6.3264,108.32,82.8,69,100,9.6,ID,overcast clouds
285,R,-18.5278,32.1284,45.75,80,0,1.79,ZW,clear sky
286,O,-33.5907,22.2014,50.36,80,0,4.68,ZA,clear sky
287,L,39.05,-27.9833,71.1,81,0,7.07,PT,clear sky
288,C,-16.9167,145.7667,79.07,65,75,19.57,AU,broken clouds
289,H,35.7333,140.8333,93.29,79,76,16.11,JP,broken clouds
290,U,66.6871,34.3429,56.14,89,50,6.4,RU,scattered clouds
291,T,47.6666,-52.7314,63.28,91,100,18.41,CA,fog
292,Y,21.85,111.9667,89.51,63,4,3.24,CN,clear sky
293,G,4.1178,15.1393,65.26,96,95,3.6,CF,overcast clouds
294,K,14.0,-11.0,76.42,89,44,12.93,ML,scattered clouds
295,S,67.667,12.6934,49.86,78,24,12.41,NO,few clouds
296,B,60.3964,-1.353,51.48,80,67,6.82,GB,broken clouds
297,D,14.6937,-17.4441,79.68,83,69,18.77,SN,broken clouds
298,F,44.2857,11.8833,73.51,84,0,4.63,IT,clear sky
299,D,47.2631,29.1608,70.59,79,14,5.95,MD,few clouds
300,C,-17.7125,-39.2481,67.82,85,24,2.26,BR,few clouds
301,A,20.5022,-10.0711,95.29,10,0,8.84,MR,clear sky
302,N,40.922,14.5329,79.21,82,0,2.06,IT,clear sky
303,S,-34.6177,-68.3301,45.18,69,59,3.24,AR,broken clouds
304,S,51.5,95.6,66.38,45,98,1.32,RU,overcast clouds
305,K,52.3524,46.5628,66.83,80,0,5.48,RU,clear sky
306,G,52.9569,31.9703,59.99,93,74,7.87,RU,broken clouds
307,B,11.2833,-15.8333,79.93,77,99,8.34,GW,overcast clouds
308,G,51.5461,118.3266,72.46,65,33,5.21,RU,scattered clouds
309,M,-4.05,19.5333,71.08,67,99,2.62,CD,overcast clouds
310,C,-32.5833,151.7833,66.85,50,2,9.15,AU,clear sky
311,H,70.9821,25.9704,47.95,87,100,21.85,NO,light intensity drizzle
312,M,5.6592,-53.7767,76.68,88,96,4.07,GF,overcast clouds
313,K,42.4308,130.6434,74.73,83,58,9.33,RU,broken clouds
314,B,43.2686,-7.5406,57.42,100,22,1.14,ES,few clouds
315,K,40.4272,71.7189,86.72,32,4,4.61,UZ,clear sky
316,V,42.0304,-8.1588,52.7,83,1,1.43,PT,clear sky
317,O,-17.9833,-67.15,46.06,28,7,5.19,BO,clear sky
318,N,60.9167,-46.05,40.66,85,14,2.84,GL,few clouds
319,C,-33.6971,-53.4616,59.25,98,100,6.38,UY,light rain
320,F,39.9523,-75.1638,81.16,81,99,5.01,US,overcast clouds
321,V,67.5447,133.385,82.47,39,99,3.51,RU,overcast clouds
322,C,22.8909,-109.9124,84.61,69,28,8.84,MX,scattered clouds
323,T,14.0706,120.7633,84.74,72,100,10.6,PH,overcast clouds
324,T,-18.1667,49.3833,66.2,100,75,4.61,MG,light rain
325,C,49.8689,-99.3602,61.03,89,99,7.36,CA,overcast clouds
326,S,66.9395,-53.6735,41.68,92,48,1.05,GL,scattered clouds
327,T,65.8167,87.9833,63.55,85,97,4.79,RU,overcast clouds
328,V,-20.3297,-40.2925,66.94,89,40,2.3,BR,scattered clouds
329,K,55.3422,-131.6461,72.05,57,0,6.93,US,clear sky
330,A,4.8699,-2.2405,75.78,81,98,12.97,GH,overcast clouds
331,A,-23.65,-70.4,56.48,84,88,7.99,CL,overcast clouds
332,A,20.5169,-13.0499,94.86,18,56,14.65,MR,broken clouds
333,G,-7.7479,112.0132,83.98,66,100,8.46,ID,overcast clouds
334,Q,21.95,108.6167,91.04,58,76,8.46,CN,broken clouds
335,S,50.1001,-91.917,59.07,94,75,6.91,CA,broken clouds
336,T,-17.7333,-149.15,76.93,79,39,26.53,PF,light rain
337,M,-3.1019,-60.025,81.09,78,0,3.44,BR,clear sky
338,S,38.7839,63.8803,80.47,20,0,20.45,TM,clear sky
339,W,5.9667,80.4167,78.62,84,91,8.48,LK,overcast clouds
340,A,-36.0833,146.9167,54.32,100,100,6.91,AU,overcast clouds
341,M,-6.5333,110.7,85.14,61,97,2.48,ID,overcast clouds
342,K,-6.1219,141.2906,80.37,88,81,4.34,PG,broken clouds
343,L,-12.2929,33.1782,54.7,75,44,7.67,ZM,scattered clouds
344,B,-26.502,17.1583,48.09,20,0,5.19,NA,clear sky
345,F,-21.0415,-57.8738,73.96,38,2,5.44,PY,clear sky
346,V,13.15,-14.1167,74.93,95,95,5.68,SN,overcast clouds
347,S,49.71,72.5872,73.13,43,78,1.74,KZ,broken clouds
348,V,57.4035,45.0916,64.11,83,94,5.7,RU,overcast clouds
349,N,37.0778,41.2178,84.69,16,0,4.32,TR,clear sky
350,S,25.35,-105.7333,62.46,92,100,2.04,MX,overcast clouds
351,H,48.0056,91.6419,65.53,33,3,4.79,MN,clear sky
352,B,2.8197,-60.6733,76.98,88,75,4.61,BR,broken clouds
353,S,-5.5569,-80.8222,63.84,81,7,16.08,PE,clear sky
354,S,51.226,-58.6502,57.69,91,64,7.65,CA,broken clouds
355,S,22.7545,112.9565,94.95,49,32,3.38,CN,scattered clouds
356,M,38.8876,-76.5119,82.2,88,100,1.99,US,overcast clouds
357,N,-32.7167,152.15,66.99,55,1,8.99,AU,clear sky
358,P,6.4965,2.6036,76.82,86,100,10.71,BJ,overcast clouds
359,C,-28.4696,-65.7852,60.58,71,93,4.0,AR,overcast clouds
360,S,37.5683,126.9778,88.99,58,20,10.36,KR,few clouds
361,A,35.3029,37.1841,76.62,43,0,5.79,SY,clear sky
362,L,17.9583,-102.2,80.42,78,100,3.06,MX,overcast clouds
363,M,-37.8333,140.7667,53.6,63,100,8.08,AU,overcast clouds
364,M,33.2833,134.15,82.76,81,56,11.9,JP,broken clouds
365,N,-42.7826,147.0587,53.1,71,97,3.0,AU,overcast clouds
366,A,13.4667,22.2,70.54,79,100,6.64,TD,overcast clouds
367,W,-28.45,18.7333,53.06,43,0,10.42,NA,clear sky
368,L,-13.8745,-171.5986,87.58,68,21,16.26,WS,few clouds
369,P,15.7432,-96.4661,78.82,93,57,2.77,MX,broken clouds
370,S,-14.2667,50.1667,67.35,87,87,8.08,MG,light rain
371,M,-20.2833,44.2833,63.7,78,0,5.21,MG,clear sky
372,C,-20.1,146.2667,69.78,27,0,9.64,AU,clear sky
373,T,22.6783,-3.9836,97.23,6,8,16.24,ML,clear sky
374,S,22.5667,59.5289,81.05,72,88,15.55,OM,overcast clouds
375,N,-15.1961,12.1522,61.59,79,79,6.98,AO,broken clouds
376,K,1.55,110.3333,84.42,79,40,2.3,MY,scattered clouds
377,M,39.8885,4.2658,72.16,78,0,0.0,ES,clear sky
378,C,41.0923,40.7292,69.26,70,0,4.03,TR,clear sky
379,M,25.5333,-103.25,82.26,38,30,16.44,MX,scattered clouds
380,T,-33.2333,-54.3833,64.9,94,100,7.99,UY,overcast clouds
381,C,-29.9533,-71.3436,53.33,100,40,3.44,CL,scattered clouds
382,H,27.11,109.9956,92.98,53,40,4.83,CN,scattered clouds
383,P,54.3161,-130.3201,67.69,79,0,17.27,CA,clear sky
384,W,-41.4122,175.5153,52.14,81,100,15.57,NZ,overcast clouds
